distance,std,rssi,correlation,invalid_01,invalid_02
15,0.166228,-71,0.422210,0.295704,0.448077
15,0.328614,-71,0.108109,0.299804,0.448077
15,0.350645,-71,0.132739,0.298727,0.448077
15,0.268271,-72,0.334942,0.294731,0.429896
15,0.379775,-74,-0.049730,0.293751,0.429896
15,0.243862,-72,0.425042,0.296137,0.429896
15,0.321125,-75,0.000555,0.300053,0.429896
15,0.236566,-70,0.478864,0.300822,0.429896
15,0.391594,-70,0.018678,0.302167,0.429896
15,0.400273,-70,0.246400,0.302462,0.429896
18,0.314183,-71,0.210679,0.300495,0.429896
18,0.428183,-77,0.034224,0.303314,0.429896
18,0.455057,-78,0.138035,0.305281,0.448077
18,0.237814,-77,0.544298,0.301895,0.448077
18,0.363440,-81,0.235951,0.300014,0.429896
18,0.230620,-82,0.630991,0.297922,0.429896
18,0.311529,-78,0.224607,0.299705,0.429896
18,0.206987,-81,0.590010,0.296876,0.429896
18,0.162265,-80,0.679723,0.291579,0.429896
18,0.217713,-80,0.546760,0.287485,0.429896
18,0.181640,-81,0.611427,0.281968,0.428183
18,0.153409,-80,0.725268,0.277005,0.428183
18,0.266361,-80,0.369569,0.280011,0.428183
18,0.278157,-78,0.602937,0.282783,0.428183
18,0.285319,-79,0.525939,0.285049,0.428183
18,0.448927,-78,0.221220,0.290996,0.429896
18,0.322607,-75,0.360844,0.290300,0.429896
18,0.400473,-74,0.213794,0.292197,0.429896
18,0.268719,-74,0.545124,0.290130,0.429896
18,0.339547,-78,0.090900,0.294013,0.429896
18,0.374653,-78,0.269271,0.294894,0.429896
18,0.304223,-77,0.207176,0.294350,0.429896
18,0.510288,-76,0.122188,0.297037,0.448927
18,0.311563,-79,0.552267,0.296426,0.448927
18,0.415506,-78,0.290580,0.300491,0.448927
18,0.429741,-79,0.250817,0.301904,0.448927
18,0.167912,-80,0.617550,0.298490,0.448927
18,0.290234,-80,0.224806,0.297465,0.448927
18,0.320643,-78,0.460364,0.299674,0.448927
18,0.208760,-79,0.261573,0.297536,0.448927
18,0.232224,-82,0.432256,0.297971,0.448927
18,0.248996,-84,0.223299,0.297368,0.448927
18,0.403571,-82,0.065808,0.300897,0.448927
18,0.251804,-81,0.198463,0.296939,0.448927
18,0.170283,-83,0.546930,0.297003,0.448927
18,0.245123,-81,0.390279,0.296504,0.448927
18,0.205179,-80,0.387148,0.292666,0.448927
18,0.370754,-79,0.323112,0.297211,0.448927
18,0.158498,-79,0.729834,0.296818,0.448927
18,0.224826,-80,0.626638,0.297004,0.448927
18,0.126085,-80,0.768045,0.296916,0.448927
18,0.145544,-81,0.694743,0.293135,0.448927
18,0.158318,-81,0.679237,0.288861,0.448927
18,0.171920,-78,0.692724,0.286720,0.448927
18,0.289035,-80,0.696799,0.284704,0.448927
18,0.253266,-80,0.532205,0.284913,0.448927
18,0.246559,-78,0.473970,0.283256,0.448927
18,0.257670,-77,0.495192,0.283725,0.448927
18,0.229672,-76,0.493517,0.280126,0.448927
24,0.514186,-77,0.199510,0.281344,0.455057
24,0.304689,-82,0.135718,0.281133,0.455057
24,0.256834,-81,0.157201,0.277325,0.455057
24,0.174894,-81,0.195289,0.271099,0.448927
24,0.199418,-80,0.183714,0.270246,0.448927
24,0.168633,-81,0.336490,0.265917,0.448927
24,0.196635,-82,0.271950,0.265162,0.448927
24,0.195359,-82,0.230308,0.262580,0.448927
24,0.183600,-83,0.193798,0.262060,0.448927
24,0.158441,-85,0.319647,0.261975,0.448927
24,0.196082,-83,0.317137,0.261495,0.448927
24,0.192799,-83,0.253095,0.261743,0.448927
24,0.234599,-83,0.074820,0.263438,0.448927
24,0.267175,-82,0.201691,0.263456,0.448927
24,0.326251,-82,0.323700,0.264525,0.448927
24,0.344296,-82,0.319655,0.265835,0.448927
24,0.428223,-84,0.228240,0.265375,0.429741
24,0.396201,-82,0.205906,0.267011,0.429741
24,0.315988,-81,0.390775,0.265133,0.429741
24,0.470596,-81,0.283425,0.269619,0.470596
24,0.456167,-81,0.320044,0.272211,0.470596
24,0.409564,-80,0.258242,0.272987,0.470596
24,0.484840,-82,0.175069,0.277000,0.484840
24,0.323538,-80,0.094925,0.273416,0.470596
24,0.173493,-79,0.297887,0.270348,0.470596
24,0.152333,-77,0.453746,0.264632,0.470596
24,0.319486,-80,0.294713,0.262182,0.470596
24,0.318309,-80,0.409077,0.265525,0.470596
24,0.321787,-80,0.399192,0.266226,0.470596
24,0.255524,-80,0.465310,0.264779,0.470596
24,0.224547,-83,0.390966,0.265129,0.470596
24,0.281675,-82,0.340936,0.266228,0.470596
24,0.334967,-79,0.155449,0.268139,0.470596
24,0.379066,-78,0.319316,0.267594,0.470596
24,0.337024,-80,0.245629,0.269488,0.470596
24,0.254829,-80,0.310756,0.271367,0.470596
24,0.308248,-79,0.306565,0.272770,0.470596
24,0.296210,-80,0.190201,0.274793,0.470596
24,0.392583,-81,0.063117,0.275278,0.470596
24,0.437213,-81,0.065807,0.281471,0.470596
24,0.408876,-81,0.094142,0.285561,0.470596
24,0.399952,-80,0.200135,0.290931,0.470596
24,0.267436,-81,0.143670,0.293353,0.470596
24,0.189196,-81,0.247510,0.293810,0.470596
24,0.227480,-80,0.165094,0.295045,0.470596
24,0.204833,-80,0.148762,0.293174,0.470596
24,0.258050,-81,0.263524,0.293280,0.470596
30,0.458447,-78,0.266063,0.297989,0.470596
30,0.137922,-77,0.550617,0.296010,0.470596
30,0.262811,-77,0.585256,0.296746,0.470596
30,0.328183,-82,0.105119,0.293582,0.458447
30,0.471788,-80,0.138870,0.297268,0.470596
30,0.285317,-81,0.162178,0.297901,0.470596
30,0.213829,-81,0.156496,0.298767,0.470596
30,0.144722,-81,0.369143,0.297856,0.470596
30,0.241439,-80,0.278121,0.299474,0.470596
30,0.345107,-80,0.221049,0.302773,0.470596
30,0.326094,-80,0.265261,0.305678,0.470596
30,0.176705,-80,0.176041,0.305525,0.470596
30,0.149775,-81,0.333470,0.305390,0.470596
30,0.160936,-83,0.319701,0.304608,0.470596
30,0.210018,-82,0.333471,0.304991,0.470596
30,0.166303,-83,0.533773,0.303473,0.470596
30,0.219593,-80,0.613759,0.302416,0.470596
30,0.297977,-79,0.255402,0.301788,0.470596
30,0.202291,-82,0.238277,0.298632,0.470596
30,0.148859,-82,0.561528,0.292444,0.470596
30,0.174220,-81,0.441190,0.287511,0.470596
30,0.175734,-83,0.390602,0.284395,0.470596
30,0.162441,-81,0.370566,0.277547,0.458447
30,0.188355,-80,0.430797,0.271595,0.458447
30,0.339327,-81,-0.052209,0.270035,0.458447
30,0.226533,-81,0.413770,0.264881,0.437213
30,0.280797,-80,0.406577,0.263931,0.437213
30,0.403446,-78,0.289598,0.269041,0.437213
30,0.240657,-78,0.477210,0.271004,0.437213
30,0.244921,-78,0.390617,0.269347,0.437213
30,0.231758,-77,0.257968,0.267424,0.437213
30,0.282947,-79,0.276880,0.266561,0.437213
30,0.364994,-77,0.489073,0.268993,0.437213
30,0.280569,-80,0.227074,0.270238,0.437213
30,0.319080,-77,0.227400,0.271069,0.437213
30,0.192718,-75,0.436474,0.267908,0.437213
30,0.331767,-76,0.140563,0.266857,0.437213
30,0.338850,-76,0.160190,0.266898,0.437213
30,0.402116,-79,0.121762,0.270171,0.437213
30,0.257147,-78,0.099416,0.269035,0.437213
30,0.324185,-77,0.110034,0.269657,0.437213
30,0.372415,-79,0.039763,0.269209,0.437213
30,0.247046,-79,0.165984,0.264983,0.408876
30,0.284127,-79,0.401229,0.262211,0.403446
30,0.235393,-76,0.311610,0.258554,0.403446
30,0.236665,-76,0.356046,0.257870,0.403446
30,0.150248,-75,0.575960,0.257004,0.403446
30,0.147481,-78,0.240187,0.255257,0.403446
30,0.160768,-77,0.433910,0.254278,0.403446
36,0.311827,-80,0.352071,0.255473,0.403446
36,0.237760,-84,0.190407,0.251791,0.402116
36,0.284388,-84,0.195813,0.254803,0.402116
36,0.208293,-84,0.189864,0.253591,0.402116
36,0.256692,-83,0.158033,0.252003,0.402116
36,0.352288,-82,0.222196,0.250895,0.372415
36,0.311185,-85,0.187241,0.251470,0.372415
36,0.354129,-86,0.202800,0.254588,0.372415
36,0.357619,-85,0.233475,0.259207,0.372415
36,0.222162,-86,0.451894,0.258778,0.372415
36,0.282578,-85,0.335360,0.257389,0.372415
36,0.249477,-85,0.312835,0.255686,0.372415
36,0.243694,-87,0.322826,0.257175,0.372415
36,0.289735,-86,0.273963,0.260275,0.372415
36,0.262050,-86,0.461835,0.262522,0.372415
36,0.306622,-87,0.357082,0.264668,0.372415
36,0.192656,-84,0.360940,0.265254,0.372415
36,0.123989,-84,0.461919,0.263713,0.372415
36,0.232103,-86,0.268874,0.262249,0.372415
36,0.326738,-84,0.259060,0.265015,0.372415
36,0.276653,-84,0.229813,0.267824,0.372415
36,0.295426,-85,0.129078,0.270517,0.372415
36,0.202627,-85,0.282047,0.271115,0.372415
36,0.200843,-85,0.221813,0.271968,0.372415
36,0.197236,-86,0.384715,0.272165,0.372415
36,0.181538,-86,0.329224,0.268659,0.372415
36,0.135409,-85,0.405549,0.266964,0.372415
36,0.177522,-84,0.478642,0.264669,0.372415
36,0.581616,-85,0.135015,0.264669,0.372415
36,0.274857,-81,0.314358,0.265429,0.372415
